DATE/TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,
36:57.7,7.3189,7.3216,-0.00532,-0.0108,5.3806,12.9537,12.9508,  
36:59.0,7.3312,7.3351,-0.00186,-0.00194,5.3942,12.9573,12.9541,  
37:00.4,7.3445,7.348,-0.00666,-0.00697,5.4067,12.9601,12.9574,  
37:01.6,7.3578,7.3609,-0.00773,-0.0078,5.4191,12.9641,12.9607,  
37:02.9,7.3696,7.3706,-0.00508,-0.00902,5.4277,12.9681,12.9646,  
37:04.3,7.3793,7.3824,-0.00589,-0.00296,5.4345,12.971,12.9685,  
37:05.6,7.3864,7.3887,-0.00773,-0.0076,5.4491,12.9755,12.9722,  
37:06.9,7.3972,7.4004,-0.00424,-0.00611,5.4644,12.9795,12.9758,  
37:08.2,7.4058,7.4117,-0.00458,-0.00736,5.4701,12.9824,12.98,  
37:09.5,7.4176,7.4205,-0.00847,-0.00792,5.478,12.987,12.9843,  
37:10.8,7.4253,7.4277,-0.00253,-0.00556,5.4897,12.9916,12.9889,  
37:12.1,7.433,7.4344,-0.01177,-0.01154,5.5011,12.9956,12.9922,  
37:13.4,7.4437,7.4441,-0.01048,-0.00933,5.5139,12.999,12.9961,  
37:14.7,7.4524,7.455,-0.00816,-0.00713,5.521,13.0031,13.0001,  
37:16.0,7.4642,7.4689,-0.00854,-0.0102,5.5357,13.0071,13.004,  
37:17.3,7.4774,7.4776,-0.00625,-0.00694,5.5396,13.0112,13.0079,  
37:18.6,7.4769,7.4802,-0.00544,-0.00579,5.5513,13.0145,13.0119,  
37:19.9,7.5014,7.5059,-0.00646,-0.00351,5.5648,13.0192,13.0158,  
37:21.2,7.5117,7.5172,-0.00167,-0.00556,5.577,13.0232,13.0194,  
37:22.5,7.5075,7.5049,-0.00697,-0.01272,5.5865,13.0267,13.0234,  
37:23.8,7.5163,7.5306,-0.00379,-0.00599,5.594,13.0306,13.0273,  
37:25.1,7.5408,7.5414,-0.00582,-0.00563,5.6132,13.0341,13.0313,  
37:26.4,7.5453,7.5475,-0.00231,-0.0091,5.6203,13.0393,13.0362,  
37:27.7,7.5459,7.5511,-0.00738,-0.01017,5.6267,13.0433,13.0401,  
37:29.0,7.5591,7.567,-0.00697,-0.0093,5.6377,13.0467,13.0437,  
37:30.4,7.5724,7.5686,-0.00379,-0.00658,5.6463,13.0508,13.048,  
37:31.7,7.5821,7.5845,-0.00632,-0.00823,5.6587,13.0543,13.0519,  
37:32.9,7.5918,7.5963,0.00054,-0.00524,5.67,13.0582,13.0552,  
37:34.3,7.605,7.6071,-0.00646,-0.01051,5.6839,13.0611,13.0592,  
37:35.6,7.6172,7.6204,-0.00482,-0.00603,5.692,13.0657,13.0631,  
37:36.9,7.6275,7.6302,-0.0041,-0.00752,5.7076,13.0697,13.0664,  
37:38.2,7.6361,7.6394,-0.00394,-0.00784,5.7162,13.0721,13.07,  
